"","categorie","intitule_offre","description_offre"
"320","DATA ANALYST","DATA ANALYST F/H (H/F)","Description du poste

about the roleContexte La croissance très importante du volume des données transitant sur les réseaux de télécommunication est à la fois une contrainte pour le dimensionnement des infrastructures et une opportunité de création de valeur pour l'opérateur. Flux Vision propose un ensemble de services de crowd analytics, en exploitant une plateforme d'analyse des données de signalisation des mobiles sur le réseau Orange. Flux Vision propose une large gamme d'indicateurs statistiques de mobilité sur le territoire, trouvant des applications dans les domaines de l'observation touristique, des transports, de l'aménagement du territoire ou encore du géomarketing. En quelques années, Flux Vision est devenu une référence mondiale du crowd analytics, avec plus de 200 clients actifs dans 7 pays. Votre mission consistera à travailler sur les indicateurs métier des clients de l'offre Flux Vision, notamment dans les domaines du géomarketing, du transport et de l'aménagement du territoire. Principales activités Vous aurez en tant que data analyst pour mission de travailler au sein d'une équipe de data analyst/data scientist/data engineer sur les sujets suivants : - Préparation et qualification des données livrées aux clients - Mise en place et qualification de nouveaux indicateurs statistiques - Participation à l'amélioration de l'appareil de production Vous participerez également à l'élaboration et à l'amélioration des livrables clients (rapport d'analyse, tableaux de bord, intégration dans les outils de traitement de la donnée, .) Vous travaillez en coordination avec les équipes de développement et les équipes d'exploitation. about youVous êtes titulaire d'un Bac+5 master ou école d'ingénieur spécialisé en mathématiques appliquées, en statistiques ou dans le domaine du transport, du géomarketing ou de l'aménagement du territoire. Vous avez une expertise dans l'utilisation des outils informatiques de datascience tel que Pandas, Keras/Scikit-Learn, SQL. Vous disposez de compétence dans les solutions de dataviz. Des connaissances dans les environnements cloud big data (Azure, AWS, GCP) est un plus. Dynamique, doté(e) d'un bon relationnel, vous avez le sens de l'équipe, et vous aimez avoir de l'autonomie pour mener une activité de manière longitudinale. departmentDigital & Data Au sein du groupe Orange, Orange Business Services met sa double expertise d'opérateur de réseaux et d'intégrateur de solutions digitales au service des entreprises, en France et dans le monde. L'unité d'affaires Digital et Data est l'ESN (entreprise de services numériques) d'OBS spécialisée dans le développement et l'intégration logiciels, l'analyse de données et l'intelligence artificielle. Avec plus de 3900 experts, elle accompagne les entreprises dans la digitalisation de leurs processus métiers tout en les aidant à mieux utiliser et valoriser leurs données. Implantés dans plusieurs grandes villes françaises comme Paris, Rennes, Lyon, Bordeaux, Lille et Toulouse . nous accompagnons au quotidien les PME jusqu'aux multinationales tout au long du cycle de vie de leurs projets, dans les domaines clés de l'expérience client, l'expérience collaborateur, la transformation IT, l'innovation digitale, la Data science & l'IA, la Data Intelligence, la Data gouvernance et le Big Data. L'innovation est essentielle à votre métier, construisons la ensemble ! Orange obtient la certification Top Employer Global 2021. Cette certification consacre les meilleures politiques et pratiques en termes de programmes de ressources humaines. Le Groupe est certifié « Top Employer » depuis maintenant 12 ans. "
"321","DATA ANALYST","INGENIEUR DATA ANALYST (IT) (H/F)","HN Services recrute sur Aix, un Data Analyste afin de participer à différents projets BI et notamment ma mise en uvre d'une solution de tableau de bord
Ta mission :
 Identifier, regrouper et qualifier l'ensemble des données 
 Concevoir les tableaux de bord de pilotage de l'activité, réaliser les extractions de données des systèmes d'information, analyser et commenter les données utiles à l'appréciation de la performance
 Définir les approches et participer à la définition des outils permettant d'identifier, extraire et exploiter ces données, proposer de nouveaux modèles d'analyse, identifier des indicateurs permettant de faciliter la prise de décision
 Optimiser la gestion des données : processus de recueil des informations, gestion des flux, vérification des données, transmission des données, mise en forme
 Etre en relation permanente avec les interlocuteurs métiers et avoir la capacité de comprendre les enjeux business du périmètre pour accompagner les opérationnels dans leur pilotage grâce à des reportings et analyses
 Préparer et animer les réunions du comité mensuel de pilotage et mettre la Data au service du pilotage dans cette instance. Restituer des résultats devant les métiers à travers des présentations simples et intuitives.
Les plus du poste
 Pilotage de chantier
 Equipe solidaire dans laquelle ta force de proposition sera un véritable atout
Environnement technique : SAP BI, PowerBI, ODI, Stambia, (Knime, Python/CondaForge, Hadoop/Spark/Hive, Alterix "
"322","DATA SCIENTIST","DATA SCIENTIST, ETUDE & MODÈLES STATISTIQUES H/F","Data Scientist, Etude & Modèles Statistiques H/F L'activité du département Etude et Management de la connaissance client (EMC2) est centrée sur la connaissance des clients, des marchés et de nos concurrents.
La mission d'EMC2 est de fournir aux différentes Entités du Pôle, analyses et prestations à valeur ajoutée sur les compartiments Marketing, Action Commerciale et risque Le(a) data scientist intégre le pôle Etude & Modèles Statistiques (EMS) Sur le terrain ça donne quoi ?
Le pôle Etude & Modèles Statistiques (EMS) a pour responsabilité de réaliser différentes études data sur le marché permettant de participer activement au développement marketing, la conquête, la fidélisation et le développement de valeur des clients BNP Paribas le tout dans un objectif opérationnel. Vous interviendrez sur les différentes problématiques sur le marché Retail/Corporate (particulier, professionnel, Entreprise) : Vous effectuerez des études statistiques ad-hoc afin de mieux comprendre nos clients (étude de portefeuille, profil de sous-population, étude préalable à une démarche de conception et de développement d'une nouvelle offre /produit, analyse du plan de sollicitation,).
Vous participerez également à la mise en place d'outil d'aide à la décision en accompagnant l'équipe dans la mise en place de solution permettant de répondre à la problématique.
Vous réaliserez des modélisations statistiques (scoring, segmentation, typologie, machine learning,...) pour évaluer l'appétence de nos clients à certains produits.
Les missions c'est important, l'équipe et l'environnement de travail aussi !
L'équipe Etude & Modèles Statistiques (EMS) fait partie du département Etude et Management de la connaissance client (EMC2). Vous rejoindrez une équipe dynamique composée de 6 collaborateurs et travaillerez dans un esprit collaboratif en open-space.
Le poste est basé à Paris 19ème, où sont situés l'ensemble des métiers du Retail de BNPP et Hello bank! Les locaux modernes de l'immeuble Mac 19 sont situés à proximité des transports (RER E : Rosa Parks / Ligne 7 : Corentin Cariou). Et après ?
Vos perspectives à l'issue de cette fonction peuvent, selon votre profil, et l'expérience passée et acquise dans le poste vous permettrons de rejoindre les métiers liés aux Risques, les métiers du marketing ou les métiers de la Data. Et la rémunération ?
C'est un sujet important, qui sera bien sûr abordé. Votre formation et votre expérience seront valorisées et prises en compte.
Encore une hésitation ?
Notre monde change : notre manière de nous informer, de consommer. et de travailler aussi ! Aujourd'hui, ce qui compte dans un job, c'est de vivre de véritables expériences, d'apprendre, de partager objectifs et résultats avec ses collègues. Bref, de tracer son propre chemin, différent, responsable et durable.
Chez BNP Paribas, nous recrutons nos collaborateurs avec l'idée qu'ils nous aideront à concevoir le monde et la banque de demain.
Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur : https://group.bnpparibas/emploi-carriere/bnp-paribas
Vous êtes convaincus, à vous de nous convaincre
Vous êtes diplômé d'un BAC+4/5 et avez une expérience réussie de 4 ans minimum dans un poste similaire.
Pour mener à bien vos missions, vous disposez d'une bonne capacité d'analyse et de synthèse.
Vous savez démontrer votre sens de l'organisation et votre capacité à collaborer tout en ayant des capacités d'adaptation. Vous possédez également des capacités de communication qui vous permettront d'échanger et de vous adapter à vos différents interlocuteurs. Votre parcours vous a permis de maitriser les outils de modélisation statistiques et votre niveau d'anglais vous permettant d'animer des présentations finira de nous convaincre. Pré requis : connaissance de SAS, Teradata, Python Enfin, nous attachons une importance particulière à ce que nos futurs collaborateurs agissent au quotidien avec responsabilité et éthique professionnelle.
À tout moment pendant le processus de recrutement, les informations figurant sur votre CV et vos données d'identification pourront être vérifiées par un prestataire extérieur mandaté par BNP Paribas. "
"323","DATA ENGINEER","DATA ENGINEER H/F","L'utilisation de la data et le développement des capacités analytiques sont un axe majeur du plan stratégique du Groupe à horizon 2027. Directement rattachée au COMEX France, l'Analytics Factory de Carrefour France est le pilier de cette transformation analytique, au service de l'ensemble des équipes métier de Carrefour France - Marketing, Marchandises, Exploitation, E-commerce, Supply Chain, Services Financiers, etc.
Les data scientists, data engineers, spécialistes data viz et data governance de la direction accompagnent au quotidien les équipes métier pour améliorer l'excellence opérationnelle (automatisation de processus, démocratisation de l'accès à la donnée, développement de la culture analytique), pour optimiser l'offre et l'expérience client sur nos sites et dans nos magasins (assortiments, promotion, personnalisation, prévisions, ...) et pour aider à la planification stratégique et à la prise de décision.
Carrefour recherche pour sa Direction Data & Analytics France basée à Massy (91), un(e)
Data engineer (H/F)
À propos du posteNous utilisons des approches de machine learning pour résoudre des défis commerciaux et opérationnels comme les ruptures en magasin, la prévision des ventes, l'optimisation de l'assortiment des produits, la personnalisation de l'expérience sur le site carrefour.fr
En tant que data engineer, vous construirez des systèmes de traitement des données robustes et scalables pour industrialiser nos solutions de machine learning.
Vous serez attentif au choix des bons outils et schémas architecturaux afin d'améliorer la performance des systèmes et de faciliter leur suivi et maintenance.
En tant que membre de notre communauté agile d'ingénieurs, vous contribuerez de manière itérative aux projets, et conduirez des revues de code. Vous décrirez également l'infrastructure de nos systèmes sous forme de code.
Au sein de feature teams, vous travaillerez quotidiennement avec des Data Scientists, Data Translators et Data Analysts. Vous interagirez également avec différentes équipes de Carrefour, notamment pour intégrer de nouvelles sources de données, pour brancher nos solutions sur différents systèmes d'information, ou pour leur donner accès aux nouvelles données créées par le lab.
Grâce à votre connaissance incrémentale des données de Carrefour, vous jouerez un rôle clé dans le succès du Lab. Votre expertise également sera essentielle à chaque étape des projets : qualification, MVP, intégration continue, suivi de la solution en production.
En tant que Data Engineer, vous rapporterez au tech lead du pôle de data science, et serez guidé par un Lead Data Scientist au sein de votre feature team.
À propos de vous
- Vous êtes diplômé en informatique au moins au niveau master, ou vous disposez d'une expérience professionnelle équivalente.
- À l'issue d'au moins 2 années d'expérience professionnelle de Data Engineer, vous avez développé une expertise sur :
- la manipulation de données avec des scripts (SQL) à et du code (Python)
- la construction et l'exploitation de pipeline de données sur des infrastructures cloud
- l'utilisation de frameworks de calcul distribué
- Vous aimez explorer de nouveaux jeux de données, les transformer, les nettoyer et les enrichir afin de les rendre exploitables.
- Vous avez pris part à des projets de développement collaboratifs, et la qualité et la simplicité du code vous tiennent à cœur.
- Vous appréciez de travailler avec des collaborateurs d'horizons différents, et il est agréable de travailler avec vous au jour le jour !
- Grâce à d'excellentes qualités relationnelles et de communication, vous êtes en mesure de communiquer vos idées complexes à différents publics non-techniques.
- Vous avez une maîtrise courante du français, et d'un anglais technique a minima.
Les petits plus
- Nous apprécions toute expérience de création d'application sur GCP.
- Vos connaissances et expériences de DevOps (processus de CI/CD, conteneurisation, ...) nous seront également précieuses.
- Le machine learning étant au cœur de la mission de notre lab, vos connaissances et votre curiosité à ce sujet seront les bienvenues !
Poste en CDI basé à Massy. Statut Cadre "
"324","DATA ANALYST","DATA ANALYST, RISQUE DE LIQUIDITÉ ET DE TAUX, ALM-T PF H/F","Data Analyst, Risque de liquidité et de taux, ALM-T PF H/F CDI
L'équipe Suivi des Risques Financiers & Modèles a pour mission de matérialiser le risque de taux, change et liquidité de PF, pour déterminer les refinancements et swaps à mettre en place : projection du BNF, stress tests, consolidation des métriques ALM-T, organisation du CCEG. Elle produit également les reportings prudentiels de liquidité à destination de la BCE et du SRB : MREL, LCR, NSFR, Asset Encumbrance, AMM.
Puis elle modélise les risques afférents à l'activité de crédit : Remboursements Anticipés, Entrées au contentieux, Tirages Cartes, Effet Sifflet (sensibilité du taux client aux évolutions des taux de marché), etc.
Enfin elle documente l'ensemble : rédaction des rapports ALM-T règlementaires (ILAAP, ICAAP IRRBB, RAS, etc.), émission des guidelines et procédures de PF, synthèse des sujets à l'AlCo.
Sur le terrain, ça donne quoi ?
Au sein de l'équipe Suivi des Risques Financiers & Modèles, vous participerez au processus de production trimestrielle des données et proposerez une analyse croisée des indicateurs ALM-T et prudentiels. Vous produirez une analyse mensuelle des indicateurs et participerez aux travaux de projections de ceux-ci (exercices budgétaires, stress tests).
Vous produirez un dashboard pour en suivre l'évolution dans le temps.
Vous contribuerez également à la revue des modèles (étude de la donnée, du modèle statistique, proposition éventuelle d'un nouveau modèle).
Enfin, vous participerez à la rédaction des rapports règlementaires et produirez des synthèses à destination de la Direction.
Les missions c'est important mais l'équipe et l'environnement de travail aussi !
Filiale à 100 % du Groupe BNP Paribas, BNP Paribas Personal Finance est n°1 du financement aux particuliers en France et en Europe au travers de ses activités de crédit à la consommation et de crédit immobilier.
Avec des marques comme Cetelem, Cofinoga ou encore Findomestic, l'entreprise propose une large gamme de crédits aux particuliers disponibles en magasin, en concession automobile ou directement auprès des clients via ses centres de relation client et sur Internet.
Vous rejoignez une équipe de 10 collaborateurs basés à « Unicity » situé à Levallois-Perret près des bords de Seine, avec accès immédiat au métro (Ligne3 -Pont de Levallois), aux lignes de bus vers La Défense ou Paris et au Transilien. Les locaux sont organisés en flex office à Unicity, vous y trouverez tous les services (Restaurant d'Entreprise, Conciergerie, Parkings, Kiosque Informatique, Services médicaux...).
Des déplacements occasionnels sont à prévoir en Europe.
Et la rémunération ?
C'est un sujet important, qui sera bien sûr abordé. Nous saurons valoriser votre expérience et votre parcours.
Pourquoi rejoindre BNP Paribas ?
Notre monde change : notre manière de nous informer, de consommer. et de travailler aussi ! Aujourd'hui, ce qui compte dans un job, c'est de vivre de véritables expériences, d'apprendre, de partager objectifs et résultats avec ses collègues. Bref, de tracer son propre chemin, différent, responsable et durable. Chez BNP Paribas, nous recrutons nos collaborateurs avec l'idée qu'ils nous aideront à concevoir le monde et la banque de demain.
Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur www.bnpparibas.com
Et après ?
Ce poste vous permettra d'acquérir des connaissances sur la gestion des risques ALM-T, en particulier du risque de liquidité, de renforcer vos compétences de DATA Analyste, de découvrir le métier du Crédit à la Consommation.
Vous aurez l'occasion de travailler avec de multiples acteurs dans votre équipe, chez PF Corporate et au Groupe (ALM-T, Risks, Finance), et dans nos filiales à l'étranger (ALM-istes locaux, compta, OPC), le tout au sein d'un métier de BNP Paribas en pleine croissance.
Et vous ? Etes-vous notre futur Data Analyst, Risque de liquidité et de taux, ALM-T PF ?
Oui, si vous avez 5 ans minimum d'expérience professionnelle en analyse et gestion de données et ou en contrôle de gestion. Vous avez une appétence pour le développement informatique (VBA, Python) ainsi que le Data mining.
Une bonne maitrise de l'anglais ainsi que des connaissances en comptabilité seront un atout sur le poste.
Votre esprit critique, votre capacité à collaborer, ainsi que votre créativité seront des atouts essentiels. Votre capacité à communiquer ainsi que vos capacités d'analyse et de synthèse vous permettront de nous convaincre.
Enfin, nous attachons une importance particulière à ce que nos futurs collaborateurs agissent au quotidien avec responsabilité éthique et professionnelle.
A tout moment pendant le processus de recrutement, les informations figurant sur votre CV et vos données d'i  "
"326","DATA ANALYST","DATA ANALYST F/H (H/F)","Bienvenue chez FED IT, cabinet spécialisé dans le recrutement de profils informatiques et digitaux.Je vous propose de rejoindre une belle enseigne, spécialisée dans le retail, en qualité de Data Analyst F/H sur Villeneuve-Loubet (06).Dans le cadre d'un création de poste, vous rejoignez l'équipe contrôle de gestion, échangez avec les équipes métiers pour les besoins et intervenez sur le logiciel entreprise pour l'étude de la data.A ce titre, vous :
- extrayez les données pertinentes du logiciel- analysez les données qui vont permettre l'orientation économique et business à suivre- développez et maintenez les bases de données et améliorez les process permettant une meilleure analyse de donnéesDe formation supérieure en informatique, vous avez une appétence pour la data et justifiez d'une expérience de 3 années à minima sur des missions similaires.Curieux, vous êtes force de proposition et souhaitez apporter une véritable plus-value sur votre poste.Vous possédez une bonne capacité d'analyse et savez travailler en équipe.Une formation sur le logiciel entreprise sera effectuée.Possibilité de télétravail 2j/semaine.Rémunération selon profil. "
"327","DATA ANALYST","DATA ANALYST - PARC PHOTOVOLTAÏQUE (H/F)","Description du poste 
Type de contrat :CDI
Filiale du groupe EDF, EDF ENR est leader en France dans le domaine du photovoltaïque sur toitures (près de 40000 générateurs installés chez une clientèle de particuliers, d'industriels, d'agriculteurs et de collectivités; 2000 centrales photovoltaïques monitorées en France et à l'étranger, de 36 kW à 6 MW)
Acteur majeur du développement de la transition énergétique, EDF ENR contribue au projet stratégique CAP 2030.
Pour plus d'informations, n'hésitez pas à visiter notre site https://www.edfenr.com
Actuellement, nous recherchons pour notre Service Exploitation un(e) DATA ANALYST : au sein du Centre de contrôle, vous êtes en charge de surveiller, d'améliorer la performance des actifs, d'apporter un support technique à nos clients et à nos Gestionnaires d'Actifs, et de participer à la mise en place des nouveaux outils et processus.
Rattaché(e) au Responsable Exploitation, vos missions consistent à :
- Extraction et traitement des données :
- Recueillir, traiter et analyser les données relatives à l'activité de production d'énergie photovoltaïque,
- Déterminer les outils et méthodes d'acquisition de données,
- Maîtriser la qualité des données tout au long de leur traitement.
- Optimisation de la stratégie de l'entreprise :
- Contrôler la qualité et la cohérence des bases de données,
- Faciliter l'optimisation de la stratégie de l'entreprise,
- S'assurer de l'utilisabilité des données par les utilisateurs finaux.
- Développement d'outils :
- Recueillir les besoins internes,
- Définir des KPIs de performance et mettre en place des dashboards (une connaissance de l'outil tableau serait un plus),
- Concevoir, réaliser et produire des outils de pilotage,
- Mettre en place et présenter les reportings quotidiens, mensuels sur la performance des centrales,
- Accompagner les équipes dans l'utilisation des données et des outils associés.
Critères du poste 
De formation supérieure en Data, vous êtes passionné(e) par la Data.
Vous disposez d'une bonne maitrise des langages d'exploration et de manipulation de données (SQL, PYTHON, DAX, VBA), des outils (AWS, TABLEAU) et moyens de restitution (PBY,PQY), et des outils bureautiques.Vous vous intéressez aux nouvelles tendances et aux nouveaux outils.
Vous savez travailler en équipe, avec rigueur, minutie et organisation.
Vous êtes reconnu pour votre aisance relationnelle, votre qualité d'écoute, votre capacité à mener des projets et votre sens du service. 
Poste en CDI
Disponibilité: immédiate
Localisation du poste : Limonest (69)
Conformément aux engagements pris par EDF ENR en faveur de l'insertion de personnes en situation de handicap, cette offre est ouverte à toutes et à tous.
Rejoindre EDF ENR, c'est :
- contribuer à un avenir énergétique responsable tout en relevant des défis passionnants,
- une opportunité de travailler dans un cadre dynamique et international, entouré d'experts,
- bénéficier d'une politique de rémunération attractive qui associe des dispositifs salariaux fixes et variables.
Vous êtes intéressé(e) ? transmettez-nous votre candidature (CV et lettre de motivation). "
"328","DATA ANALYST","DATA ANALYST PRICING DCF 42/LOD- F/H (H/F)","Le Groupe Casino occupe en France une
position de leader dans le secteur de la grande distribution grâce à la
diversité de ses enseignes : Géant, Monoprix, Supermarchés Casino, Franprix,
Petit Casino, CDiscount, GreenYellow, Naturalia. et à une présence affirmée à
l'international : Argentine, Brésil, Colombie, Uruguay...
La Diversité du Groupe trouve aussi son
expression dans notre politique de recrutement qui privilégie l'égalité des
chances et la diversité des individus au sein de nos équipes.
Casino, c'est aussi une stratégie
d'innovation et de développement avec de nombreuses réalisations : la Marque
Casino forte de plus de 4000 références, l'excellence de la Supply Chain, les
outils d'analyse des comportements clients et les programmes de fidélisation,
le développement de stratégies immobilières performantes.
En 2020, son chiffre d'affaires s'est élevé à
plus de 31,9 milliards d'euros et son effectif à plus de 205 000
collaborateurs dans le monde dont 56 000 en France.
Au sein de la Direction Prix et, rattaché(e) au Responsable
du pôle, vous aurez pour principales responsabilités de :
- Contribuer à la mise en œuvre d'outils innovants et stratégiques, pour répondre rapidement aux besoins des équipes Pricing et de la direction
:
- Identifier et analyser les
besoins et problématiques (analyses de marchés, contrôles d'anomalies...) ,
- Définir les solutions techniques les plus
adaptées,
- Réaliser les développements, la
maintenance des outils et leurs synergies,
- Former et accompagner les
équipes pricing aux outils et à la solution dans l'objectif de développer l'autonomie du service
- Gérer les environnements techniques,
- Bases de données (MariaDB),
- Intranet interne du service
pour synthétiser les données (HTML, PHP, JavaScript),
- Suivi des tâches quotidiennes.
- Etre en capacité d'extraire des données provenant des
différents systèmes d'information.
- Participer au chiffrage et à l'analyse des différentes
actions Prix
- Contribuer à la construction et
à la mise en place des actions,
- Mise en œuvre des fichiers de
travail et des synthèses.
Poste proposé en statut Cadre
Formation
attendue Niveau BAC+3 à BAC+5 Ingénieur/ informaticien
- Première
expérience un poste similaire, y compris alternance ou stage longue durée.
- Maitrise indispensable de SQL et solides connaissances sur les langages de programmation (VBA, C) ainsi que sur html.
- Expertise
sur les outils Excel / Access
- Sens du
contact et du travail en équipe.
- Etre force
de proposition
- Une
connaissance des environnements Teradata / Oracle est un plus.- Sens de
l'adaptation et polyvalence.
- Ce poste nécessite d'avoir une appétence certaine pour le secteur d'activité ""Commerce"" et même temps de très bonnes compétences informatiques sur les outils cités précédemment.
La Diversité trouve toute son expression dans la politique de recrutement du Groupe Casino qui privilégie l'égalité des chances et la diversité des individus au sein de ses équipes. "
"329","DATA SCIENTIST","DATA SCIENTIST - H/F","Stancer est un établissement de paiement français, filiale du groupe Iliad. Nous proposons une suite de solutions permettant à des entreprises de toutes tailles d'implémenter facilement une solution de paiement innovante, sûre et accessible.
Dans le cadre de notre développement, nous recherchons notre futur(e) Data-Scientist pour nous accompagner dans notre lutte contre la fraude aux moyens de paiement.
TES MISSIONS
Au sein de notre équipe technique, tes missions principales seront :
- Mener des études statistiques permettant d'anticiper de potentiels comportements de fraude
- Proposer des améliorations des modèles de détection de fraude de Stancer. Tu interviendras pour la lutte contre la fraude sur l'ensemble des moyens de paiement proposés à nos clients (cartes, virements.).
- Effectuer régulièrement un suivi des performances des modèles de machine learning en place afin de les évaluer
- Assurer le maintien et l'adaptation des modèles de Stancer
- Réaliser une veille technologique puis proposer et coordonner la mise en place de nouvelles technologies ou approches pour anticiper et détecter efficacement la fraude
De formation supérieure Bac+4/+5, avec une spécialisation en Data Science / Machine Learning (ou une expérience significative dans ce domaine) :
- Tu disposes d'un savoir-faire en matière de machine learning et tu as de solides connaissances des outils de data management et de data science en Python
- Tu es capable de réaliser en autonomie des études statistiques et de mettre en place des modèles pertinents face aux comportements mis en lumière
- Tu sais rédiger une documentation claire à l'attention de lecteurs (initiés ou non-initiés)
- Tu es autonome, proactif et tu disposes d'une bonne capacité de communication (Une maîtrise de l'anglais est un atout)
- Une connaissance générale du secteur de la finance et plus particulièrement de la fraude aux moyens de paiement serait un plus.
L'ENVIRONNEMENT TECHNIQUE
Langage de développement en Python, base de donnée utilisées MySQL et MongoDB. "
"330","DATA SCIENTIST","ALM TREASURY ANALYSTE QUANTITATIF - DATA SCIENTIST H/F","ALM Treasury Analyste Quantitatif / Data Scientist H/F - CDI
« Développez des modèles statistiques pour produire des indicateurs fiables et exploitables ! »
#ALMTHeadOffice #DataScience
Concrètement votre quotidien ?
L'ALM Treasury (Asset & Liabilities Management Treasury), activité transversale présente dans l'ensemble du Groupe BNP Paribas, est en charge de gérer les risques de liquidité, de taux et de change du bilan de la Banque.
L'ALM Treasury comprend une équipe importante au siège à Paris ainsi que des équipes locales présentes dans les succursales et filiales du Groupe en France et à l'étranger.
Votre mission principale sera de développer des modèles statistiques pour prédire le comportement clientèle (exercice de l'option de remboursements anticipés, écoulement des dépôts, tirage du hors-bilan, .). Ces modèles sont nécessaires pour permettre à l'ALM Treasury d'avoir une juste représentation des risques sous sa responsabilité et sont la base des décisions de couverture (opérations de marchés) mises en place.
Le développement des modèles pour répondre à de nouveaux besoins ou la mise à jour des modèles existants feront partie de votre quotidien. Vous utiliserez dans ce cadre diverses méthodes de Data Science, d'économétrie ou de finance quantitative. Bien sûr, vous suivrez et tiendrez compte de l'évolution de l'environnement économique et financier.
Vous pourrez contribuer à l'amélioration des outils de simulation de trajectoires de taux et d'inflation développés dans l'équipe, ainsi qu'à la calibration des modèles sous-jacents, reposant sur des algorithmes d'optimisation sophistiqués.
Vous jouerez un rôle actif dans la veille technologique de l'équipe, notamment pour les projets sur les environnements Big Data du groupe BNP Paribas, les tests d'algorithmes de machine learning / Intelligence Artificielle. Vous serez également actif dans la veille académique, en particulier via l'étude d'articles académiques.
La collaboration et les interactions avec d'autres équipes de l'ALM Treasury seront importantes. Vous serez amené à travailler avec ces équipes pour connaitre le contexte du modèle (spécificités des clients, cadre économique et concurrentiel, .) et échanger sur vos travaux. Vous serez également amené à interagir avec les équipes RISK (en charge de la validation des modèles) et IT (en particulier dans le cadre de la collecte de données historiques).
Enfin, vous animerez le réseau des modélisateurs ALM Treasury du Groupe BNP Paribas ; via des meetings réguliers avec les équipes locales, des présentations des nouvelles méthodologies standard du Groupe. Vous veillerez à l'harmonisation des méthodes de modélisation dans le Groupe et interviendrez en support aux équipes locales dans le développement de modèles.
L'environnement de travail, c'est important !
Vous rejoindrez l'équipe Data Science & Quantitative Finance (DS&QF) au sein de l'ALM Treasury, composée de 10 Data Scientists installés au sein du Head Office de l'ALM Treasury, au 41 avenue de l'Opéra (Paris 2ème).
Et après?
Cette mission vous permettra de développer vos compétences techniques ainsi que vos connaissances de l'activité de l'ALM Treasury. Les interactions constantes avec les différentes équipes de l'ALM Treasury vous permettront de découvrir la richesse des missions de cette activité transverse, tant au sein de Head Office que dans les métiers / filiales. Vous pourrez ensuite évoluer vers d'autres services au sein de l'ALMT tant en France au siège, dans les filiales du Groupe, qu'à l'étranger.
Après une première expérience, vous aurez la possibilité d'évoluer au sein de l'ALM Treasury, tant en France qu'à l'étranger, dans des activités aussi variées que les activités de marchés, de refinancement, d'analyses et de production d'indicateurs ou de pilotage de risques.
Et la rémunération ?
C'est un sujet important, qui sera bien sûr abordé. Nous saurons valoriser votre expérience et votre parcours.
Pourquoi rejoindre BNP Paribas ?
Notre monde change : notre manière de nous informer, de consommer. et de travailler aussi ! Aujourd'hui, ce qui compte dans un job, c'est de vivre de véritables expériences, d'apprendre, de partager objectifs et résultats avec ses collègues. Bref, de tracer son propre chemin, différent, responsable et durable. Chez BNP Paribas, nous recrutons nos collaborateurs avec l'idée qu'ils nous aideront à concevoir le monde et la banque de demain.
Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur : https://group.bnpparibas/emploi-carriere/bnp-paribas
Etes-vous notre ALM Treasury Analyste Quantitatif - Data Scientist ?
Oui si vous êtes diplômé d'un Master, ingénieur, école de commerce, université, et justifiez d'une première expérience réussie en m  "
"331","DATA ANALYST","DATA ANALYST (IT) (H/F)","HN Services recrute sur Aix, un Data Analyste afin d'apporter son expertise dans l'ensemble des phases projet pour effectuer les analyses en phase think, les études ad-hoc et mise en forme KPI sur PowerBI
Ta mission :
 Identifier, regrouper et qualifier l'ensemble des données 
 Concevoir les tableaux de bord de pilotage de l'activité, réaliser les extractions de données des systèmes d'information, analyser et commenter les données utiles à l'appréciation de la performance
 Définir les approches et participer à la définition des outils permettant d'identifier, extraire et exploiter ces données, proposer de nouveaux modèles d'analyse, identifier des indicateurs permettant de faciliter la prise de décision
 Optimiser la gestion des données : processus de recueil des informations, gestion des flux, vérification des données, transmission des données, mise en forme
 Etre en relation permanente avec les interlocuteurs métiers et avoir la capacité de comprendre les enjeux business du périmètre pour accompagner les opérationnels dans leur pilotage grâce à des reportings et analyses
 Préparer et animer les réunions du comité mensuel de pilotage et mettre la Data au service du pilotage dans cette instance. Restituer des résultats devant les métiers à travers des présentations simples et intuitives.
Les plus du poste
 Pilotage de chantier
 Equipe solidaire dans laquelle ta force de proposition sera un véritable atout
Environnement technique : Kibana, PowerBI, Javascript, Katalon "
